MANIFEST  NO,DLV. CODE,CUS.PLANT,NO.,DLV. DATE.,TIME.,CUSTOMER PRT NO,DENSO PART NO.,PART DESCRIPTION,ORDER QTY,ERR.CD
5250757371,BDRD07-53,,2,23/09/2025,10:04,83800-BYT20-00,JK457300-91450C,METER ASSY  COMBINATION,,
5250757371,BDRD07-53,,3,23/09/2025,10:04,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250757371,BDRD07-53,,5,23/09/2025,10:04,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250757371,BDRD07-53,,6,23/09/2025,10:04,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250757371,BDRD07-53,,8,23/09/2025,10:04,895E0-BZC20-00,JK115800-34620T,COMPUTER ASSY  FUEL INJEC,,
5250757371,BDRD07-53,,9,23/09/2025,10:04,89560-BYR21-00,JK115800-07220C,COMPUTER ASSY  FUEL INJEC,,
5250757426,BDRD07-53,,1,23/09/2025,10:04,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250757426,BDRD07-53,,3,23/09/2025,10:04,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250757426,BDRD07-53,,5,23/09/2025,10:04,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250757426,BDRD07-53,,8,23/09/2025,10:04,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250757426,BDRD07-53,,9,23/09/2025,10:04,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250757426,BDRD07-53,,10,23/09/2025,10:04,895E0-BZ550-00,JK115800-32220T,COMPUTER ASSY  FUEL INJEC,,
5250757472,BDRD07-53,,1,23/09/2025,10:04,83800-BX360-00,JK257640-79840T,METER ASSY  COMBINATION,,
5250757472,BDRD07-53,,2,23/09/2025,10:04,83800-BX420-00,JK257640-80140T,METER ASSY  COMBINATION,,
5250757472,BDRD07-53,,3,23/09/2025,10:04,83800-BYV20-00,JK157410-78750C,METER ASSY  COMBINATION,,
5250757472,BDRD07-53,,5,23/09/2025,10:04,83800-BYV31-00,JK157420-10600C,METER ASSY  COMBINATION,,
5250757472,BDRD07-53,,7,23/09/2025,10:04,83800-BYV60-00,JK457300-91650C,METER ASSY  COMBINATION,,
5250757472,BDRD07-53,,8,23/09/2025,10:04,895E0-BY181-00,JK115800-62120T,COMPUTER ASSY  FUEL INJEC,,
5250757472,BDRD07-53,,9,23/09/2025,10:04,895E0-BZA00-00,JK115800-36720T,COMPUTER ASSY  FUEL INJEC,,
5250757472,BDRD07-53,,10,23/09/2025,10:04,895E0-BZ550-00,JK115800-32220T,COMPUTER ASSY  FUEL INJEC,,
